text,category
"Olive Garden Breadsticks Salad Soup Tour of Italy Dinner Chicken Parmigiana Total: $9961.00",Food & Dining
"Udemy Python Data Science Masterclass Online Video Course Purchase ₹33192,000",Education & Subscriptions
"Quill Fellowes Cross-Cut Paper Shredder Logitech Wired USB Keyboard Black Receipt #17345",Office Supplies & Equipment
"Sentry Session Replay Monitoring Error Tracking Crash Reporting Performance APM Tracing Order #59096",Software & Cloud Services
"Figma Professional Team Seat License Total: $30260.00",Software & Cloud Services
"Greystar Real Estate Reserved Parking Space Lease #INV-47074",Real Estate & Rent
"United Airlines United Club Pass Qty: 35021",Travel & Transport
"BART Bay Area Transit Airport Station Fare Total: $97984.00",Travel & Transport
"AMC Theatres Movie Ticket Adult Evening Qty: 72455",Entertainment & Events
"JPMorgan Chase Bank Monthly Checking Account Service Fee Order #94710",Insurance & Financial Fees
"Greystar Real Estate Pet Rent Monthly Fee Monthly Apartment Rent Payment Reserved Parking Space Lease Total: $86065.00",Real Estate & Rent
"JLL Jones Lang LaSalle Building Operating Expenses Adjustment Store #88466",Real Estate & Rent
"Mayo Clinic Orthopedic Physical Therapy Evaluation #INV-3722",Healthcare & Pharmacy
"AT&T Fiber Gigabit Fiber Internet Monthly Bill Static IP Address Block Monthly Wi-Fi Gateway Equipment Rental Fee Receipt #27848",Telecommunications & Internet
"Comcast Business VoIP Business Voice Lines 5 Seats Static IP Address Subnet #INV-90926",Telecommunications & Internet
"Sears Auto Center A/C Recharge System Refrigerant ₹93872,000",Maintenance & Repairs
"LinkedIn Learning Monthly Unlimited Learning Access Enterprise Skill Training Subscription Order #1266",Education & Subscriptions
"Quest Diagnostics Thyroid Stimulating Hormone TSH Lab Routine Complete Blood Count CBC Test Receipt #53735",Healthcare & Pharmacy
"Discount Tire Michelin Defender All-Season Tire 4 Pack Tire Pressure Sensor TPMS Replacement Tire Mounting Balancing Disposal Total: $40423.00",Maintenance & Repairs
"Hertz Gold Plus Booking Store #9785",Travel & Transport
"AT&T Fiber Static IP Address Block Monthly Order #30616",Telecommunications & Internet
"JLL Jones Lang LaSalle Retail Space Lease Payment Building Operating Expenses Adjustment #INV-28752",Real Estate & Rent
"Greystar Real Estate Monthly Apartment Rent Payment Store #98275",Real Estate & Rent
"ConEdison Gas Heating Service Electric Usage Monthly Electric Utility Power Bill Commercial Electric Supply Account Order #88541",Utilities & Bills
"CBRE Commercial Office Space Monthly Lease Commercial Property Management Charge Common Area Maintenance CAM Fee Store #36895",Real Estate & Rent
"Burger King Chicken Royale Meal Receipt #2055",Food & Dining
"State Farm Insurance Personal Umbrella Policy Premium Auto Insurance Liability Policy Homeowners Policy Premium Invoice Total: $77649.00",Insurance & Financial Fees
"Safeway Supermarket Sparkling Water 12 Pack Cans Fresh Strawberries 1lb Package Signature Select Wheat Bread Store #88959",Groceries & Supermarkets
"Ace Hardware Plumbers Snake Drain Cleaner Gorilla Heavy Duty Construction Adhesive Stanley Measuring Tape 25 Foot Qty: 22794",Maintenance & Repairs
"Verizon Fios Digital Home Phone Line 1000Mbps Fiber Internet Service Fios TV Ultimate HD Channel Package ₹5112,000",Telecommunications & Internet
"Burger King Impossible Whopper Hersheys Sundae Pie Whopper Extra Cheese Order #46713",Food & Dining
"Harvard Business Review Case Study PDF Download License HBR Digital Subscription Annual Executive Leadership Magazine Receipt #41668",Education & Subscriptions
"Spectrum Business Voice Landline Phone Service Commercial Cable TV Broadcast Channel Receipt #31545",Utilities & Bills
"AT&T Fiber Gigabit Fiber Internet Monthly Bill Txn ID: 60940",Telecommunications & Internet
"Sentry Session Replay Monitoring Qty: 78116",Software & Cloud Services
"Verizon Fios Fios TV Ultimate HD Channel Package Digital Home Phone Line 1000Mbps Fiber Internet Service Ref#50511",Telecommunications & Internet
"Greystar Real Estate Pet Rent Monthly Fee Total: $85003.00",Real Estate & Rent
"Panda Express Beijing Beef Chow Mein Orange Chicken Plate Total: $26346.00",Food & Dining
"Stripe Processing Fee Chargeback ₹58105,000",Software & Cloud Services
"Greystar Real Estate Reserved Parking Space Lease Monthly Apartment Rent Payment Order #56770",Real Estate & Rent
"City Water Department Municipal Water Sewage Usage Service Commercial Water Meter Consumption Sanitation Waste Management Utility Bill #INV-18873",Utilities & Bills
"CenturyLink Lumen Dedicated Fiber Internet Line Business Broadband DSL Service Qty: 24784",Telecommunications & Internet
"Walgreens Tylenol Extra Strength Acetaminophen First Aid Kit Emergency Supplies Omron Upper Arm Blood Pressure Monitor Total: $81480.00",Healthcare & Pharmacy
"Rocket Lawyer Corporate Resolution Drafting Receipt #46155",Professional & Legal Services
"JLL Jones Lang LaSalle Retail Space Lease Payment Commercial Real Estate Rent Invoice Ref#98409",Real Estate & Rent
"PlayStation Network Digital Game Store Purchase PS Plus Extra 12-Month Membership Receipt #6282",Entertainment & Events
"PwC PricewaterhouseCoopers Transaction Tax Structuring Services Risk Assurance Advisory Retainer ₹39575,000",Professional & Legal Services
"Quest Diagnostics Comprehensive Metabolic Panel Bloodwork Thyroid Stimulating Hormone TSH Lab Total: $88653.00",Healthcare & Pharmacy
"Ahrefs Advanced SEO Keyword Research Tool Order #72143",Marketing & Advertising
"Costco Wholesale Kirkland Signature Paper Towels 12 Roll ₹74442,000",Groceries & Supermarkets
"City Water Department Municipal Water Sewage Usage Service Sanitation Waste Management Utility Bill Commercial Water Meter Consumption ₹37929,000",Utilities & Bills
"BP Oil Coffee Snack Shop #INV-1256",Travel & Transport
"Figma Organization Design System Store #81655",Software & Cloud Services
"Costco Wholesale Rotisserie Chicken Whole Order #92051",Groceries & Supermarkets
"Panda Express Orange Chicken Plate Beijing Beef Chow Mein Order #14198",Food & Dining
"Shake Shack ShackBurger Double Crinkle Cut Fries Order #91062",Food & Dining
"HubSpot Sales CRM Enterprise Subscription Marketing Hub Professional Tier CMS Hub Web Hosting Tools Store #19889",Marketing & Advertising
"Twitter X Ads Follower Growth Campaign Ads Ref#10059",Marketing & Advertising
"Pizza Hut Stuffed Crust Pepperoni Meatballs Marinara Pasta Order #25793",Food & Dining
"Ace Hardware Stanley Measuring Tape 25 Foot Receipt #7963",Maintenance & Repairs
"Harvard Business Review Case Study PDF Download License HBR Digital Subscription Annual Executive Leadership Magazine Total: $84055.00",Education & Subscriptions
"Greystar Real Estate Reserved Parking Space Lease Monthly Apartment Rent Payment Community Amenity Maintenance Fee Ref#69989",Real Estate & Rent
"City Medical Clinic Diagnostic X-Ray Examination Chest Annual Physical Wellness Examination Primary Care Physician Consultation Qty: 5564",Healthcare & Pharmacy
"AT&T Fiber Internet 1000Mbps Service Bill Order #83948",Utilities & Bills
"JPMorgan Chase Bank Commercial Overdraft Protection Charge Monthly Checking Account Service Fee Wire Transfer International Fee Store #31391",Insurance & Financial Fees
"Target Sharpie Permanent Markers Fine Point Five Star 3 Subject Notebook Total: $48389.00",Office Supplies & Equipment
"Best Buy Logitech MX Master 3S Mouse CyberPower 1500VA Battery UPS Dell 27 Inch 4K UHD Monitor Ref#44414",Office Supplies & Equipment
"AWS Amazon Web Services EC2 Compute Billing RDS PostgreSQL Database Usage Order #53742",Software & Cloud Services
"Atlassian Jira Software Cloud License Confluence Knowledge Base ₹24696,000",Software & Cloud Services
"Allstate Insurance Property Casualty Insurance Premium Order #50508",Insurance & Financial Fees
"Labcorp Hemoglobin A1c Diabetes Blood Test #INV-10807",Healthcare & Pharmacy
"Panera Bread Broccoli Cheddar Soup Receipt #90093",Food & Dining
"Geico Insurance Comprehensive Collision Coverage Monthly Vehicle Policy Renewal Auto Vehicle Insurance Premium Txn ID: 63936",Insurance & Financial Fees
"Ahrefs Content Explorer Search Tool Site Explorer Domain Rating Tracker Store #65542",Marketing & Advertising
"TikTok Ads In-Feed Video Ad Impressions Total: $27859.00",Marketing & Advertising
"Budget Car Rental GPS Device Rental Total: $42076.00",Travel & Transport
"Lowes Husky Heavy Duty Workbench Craftsman Socket Wrench Tool Set LED Recessed Ceiling Lights 6 Pack Order #94280",Maintenance & Repairs
"Verizon Fios Gigabit Fiber Connection Internet LTE Mobile Hotspot Data Plan Order #20304",Utilities & Bills
"Netflix Extra Member Slot Fee Standard HD Monthly Subscription Premium 4K Ultra HD Plan Store #97073",Entertainment & Events
"Lincoln Property Co Building Maintenance Fee Residential Suite Lease Payment Tenant Utility Submeter Charge Store #54962",Real Estate & Rent
"AT&T Digital Landline Phone Service Account Fiber Internet 1000Mbps Service Bill Business Unlimited Mobile Wireless Line Store #41279",Utilities & Bills
"Safeway Supermarket Boneless Skinless Chicken Breast Ref#96691",Groceries & Supermarkets
"Lincoln Property Co Tenant Utility Submeter Charge Building Maintenance Fee ₹38455,000",Real Estate & Rent
"Southern California Edison SCE Solar Net Energy Metering Adjustment Total: $89730.00",Utilities & Bills
"Consolidated Water Commercial Fresh Water Supply Consumption Backflow Preventer Testing Inspection Receipt #48980",Utilities & Bills
"Zoom Video Communications Zoom Phone Domestic Unlimited Receipt #80503",Software & Cloud Services
"Whole Foods Market Wild Caught Salmon Fillet Txn ID: 88038",Groceries & Supermarkets
"McDonalds Oreo McFlurry ₹52561,000",Food & Dining
"JLL Jones Lang LaSalle Retail Space Lease Payment Building Operating Expenses Adjustment #INV-14736",Real Estate & Rent
"Ace Hardware Gorilla Heavy Duty Construction Adhesive Total: $89286.00",Maintenance & Repairs
"CenturyLink Lumen SIP Trunking Voice Channel Ref#94669",Telecommunications & Internet
"Kaiser Permanente Doctor Visit Co-pay General Practice Outpatient Surgical Procedure Facility Total: $17192.00",Healthcare & Pharmacy
"Comcast Business Static IP Address Subnet VoIP Business Voice Lines 5 Seats Business Internet 1 Gig Line Receipt #78633",Telecommunications & Internet
"CBRE Commercial Commercial Property Management Charge Total: $53821.00",Real Estate & Rent
"Supabase Compute Add-on Instance Size Store #49233",Software & Cloud Services
"Pep Boys Front Suspension Strut Replacement Ref#65778",Maintenance & Repairs
"Rocket Lawyer Legal Document Template Access Attorney On-Call Advice Consultation Store #47667",Professional & Legal Services
"Semrush Site Audit Backlink Crawler Keyword Rank Tracking Subscription Store #43154",Marketing & Advertising
"ExxonMobil Motor Oil Synthetic 1Qt Diesel Fuel Pump Fill Synergy Extra Gasoline Qty: 22455",Travel & Transport
"Kroger Supermarket Cage Free Grade A Eggs Dozen Private Selection Honey Ham #INV-23766",Groceries & Supermarkets
"Spotify Premium Individual Monthly Subscription Family Plan Music Streaming Duo Subscription Student Discount Ref#54843",Entertainment & Events
"Udemy Python Data Science Masterclass Online Video Course Purchase AWS Solutions Architect Certification Course Total: $56588.00",Education & Subscriptions
"Kaiser Permanente Doctor Visit Co-pay General Practice Outpatient Surgical Procedure Facility Prescription Copayment Specialty Meds ₹46647,000",Healthcare & Pharmacy
"Kaiser Permanente Diagnostic Ultrasound Scan Examination Prescription Copayment Specialty Meds Outpatient Surgical Procedure Facility Receipt #28058",Healthcare & Pharmacy
"JLL Jones Lang LaSalle Commercial Real Estate Rent Invoice Building Operating Expenses Adjustment Ref#70163",Real Estate & Rent
"OfficeMax Metal Paper Clips Jumbo 1000 Box Heavy Duty Packing Tape Dispenser Clorox Disinfecting Wipes Surface Txn ID: 10785",Office Supplies & Equipment
"Five Guys Kosher Hot Dog Store #41867",Food & Dining
"Lincoln Property Co Residential Suite Lease Payment #INV-82431",Real Estate & Rent
"Whole Foods Market Artisanal Sourdough Bread Ref#14390",Groceries & Supermarkets
"Kroger Supermarket Fresh Gala Apples 3lb Bag Shredded Cheddar Cheese 16oz #INV-32117",Groceries & Supermarkets
"Walmart Glue Sticks School Pack Stainless Steel Scissors 8 Inch #INV-45402",Office Supplies & Equipment
"Trader Joes Cold Brew Coffee Concentrate Ref#22463",Groceries & Supermarkets
"Subway Chocolate Chip Cookies Total: $84075.00",Food & Dining
"CBRE Commercial Commercial Property Management Charge Office Space Monthly Lease #INV-39091",Real Estate & Rent
"Buffalo Wild Wings Traditional Wings Medium ₹19565,000",Food & Dining
"Jiffy Lube Signature Service Synthetic Oil Change Windshield Wiper Blade Pair Install ₹94666,000",Maintenance & Repairs
"Google Ads Search Network Campaign Clicks Performance Max Campaign Ad Spend Qty: 65391",Marketing & Advertising
"Southwest Airlines Anytime Roundtrip Flight EarlyBird Check-in Addon Receipt #42067",Travel & Transport
"CenturyLink Lumen Dedicated Fiber Internet Line SIP Trunking Voice Channel Total: $75769.00",Telecommunications & Internet
"Ticketmaster Facility Service Processing Fee Receipt #28210",Entertainment & Events
"Clio Time Tracking Client Billing Portal Total: $17204.00",Professional & Legal Services
"Harvard Business Review Executive Leadership Magazine HBR Digital Subscription Annual Case Study PDF Download License Store #70494",Education & Subscriptions
"Walgreens Omron Upper Arm Blood Pressure Monitor Tylenol Extra Strength Acetaminophen Claritin 24-Hour Allergy Relief Qty: 34661",Healthcare & Pharmacy
"Comcast Xfinity Xfinity TV Station Public Cable Store #97444",Utilities & Bills
"PG&E Pacific Gas Electric Clean Energy Solar Power Assessment Monthly Commercial Gas Electric Bill Natural Gas Heating Distribution Meter Txn ID: 90007",Utilities & Bills
"Stripe Processing Fee Chargeback Qty: 63221",Software & Cloud Services
"CenturyLink Lumen Dedicated Fiber Internet Line Business Broadband DSL Service SIP Trunking Voice Channel Receipt #97332",Telecommunications & Internet
"JLL Jones Lang LaSalle Commercial Real Estate Rent Invoice Retail Space Lease Payment Building Operating Expenses Adjustment Receipt #81845",Real Estate & Rent
"Wall Street Journal WSJ Print Weekend Newspaper Delivery Subscription Total: $78067.00",Education & Subscriptions
"EY Ernst & Young M&A Due Diligence Advisory Enterprise Risk Management Consulting Ref#58707",Professional & Legal Services
"Walmart Stainless Steel Scissors 8 Inch #INV-27929",Office Supplies & Equipment
"KFC 8 Piece Bucket Original Popcorn Chicken Large Mashed Potatoes Gravy Total: $50296.00",Food & Dining
"Clio Trust Accounting Compliance Legal Practice Management Software Ref#80360",Professional & Legal Services
"Cracker Barrel Hashbrown Casserole Old Timer Breakfast Country Fried Steak Order #34833",Food & Dining
"Buffalo Wild Wings Traditional Wings Medium Boneless Wings Garlic Parm Ultimate Nachos ₹90723,000",Food & Dining
"Kroger Supermarket Organic Greek Yogurt Vanilla Receipt #47286",Groceries & Supermarkets
"Staples Bic Ballpoint Pens 60 Pack HP Black Toner Cartridge Laserjet ₹73910,000",Office Supplies & Equipment
"Comcast Business Static IP Address Subnet VoIP Business Voice Lines 5 Seats Business Internet 1 Gig Line Qty: 92275",Telecommunications & Internet
"Ahrefs Site Explorer Domain Rating Tracker Advanced SEO Keyword Research Tool Content Explorer Search Tool Ref#13437",Marketing & Advertising
"NYC Transit MetroCard 30-Day Unlimited Subway Pass Total: $94046.00",Travel & Transport
"Slack Technologies Enterprise Grid Workspace Business+ User Seat License Slack Huddle Recording ₹6773,000",Software & Cloud Services
"PG&E Pacific Gas Electric Clean Energy Solar Power Assessment Natural Gas Heating Distribution Meter Monthly Commercial Gas Electric Bill Total: $27738.00",Utilities & Bills
"DocuSign Envelope Quota Extension Pack Receipt #8765",Professional & Legal Services
"Cloudflare Workers KV Storage Usage Registrar Domain Renewal Qty: 59478",Software & Cloud Services
"Amazon Basics Standard Paper Clips Zinc Coated 1000 Printer Paper 5000 Sheets Box Order #4311",Office Supplies & Equipment
"CDW Lenovo ThinkPad Docking Station Cisco Catalyst Managed Switch 24 Port APC Smart-UPS Uninterruptible Power Txn ID: 83954",Office Supplies & Equipment
"Labcorp Vitamin D 25-Hydroxy Lab Assessment Txn ID: 23757",Healthcare & Pharmacy
"Hertz Gold Plus Booking Receipt #68863",Travel & Transport
"State Farm Insurance Personal Umbrella Policy Premium Homeowners Policy Premium Invoice Auto Insurance Liability Policy Store #49234",Insurance & Financial Fees
"GitHub GitHub Copilot Developer Enterprise Team License Store #20699",Software & Cloud Services
"Linear Standard Team Workspace Total: $69510.00",Software & Cloud Services
"Allstate Insurance Property Casualty Insurance Premium Commercial Liability Insurance Policy Total: $22185.00",Insurance & Financial Fees
"Greystar Real Estate Community Amenity Maintenance Fee Monthly Apartment Rent Payment Reserved Parking Space Lease #INV-93704",Real Estate & Rent
"Trader Joes Organic Baby Spinach Salad Mandarin Orange Chicken Frozen Qty: 86984",Groceries & Supermarkets
"Office Depot Perforated Writing Pads Legal Post-it Sticky Notes 12 Pack ₹56529,000",Office Supplies & Equipment
"Wal-Mart Pharmacy Omega 3 Fish Oil Concentrated Softgels Total: $93765.00",Healthcare & Pharmacy
"Regal Cinemas RPX Premium Cinema Experience ₹69773,000",Entertainment & Events
"PwC PricewaterhouseCoopers Risk Assurance Advisory Retainer Transaction Tax Structuring Services Ref#87535",Professional & Legal Services
"LinkedIn Ads InMail Sponsored Messaging Sponsored Content B2B Campaign Text Ads Lead Gen Form Submissions Order #85309",Marketing & Advertising
"T-Mobile Mobile Internet Hotspot Data Line SyncUP Fleet Vehicle Tracking Device Business Unlimited 5G Smartphone Lines Total: $29068.00",Utilities & Bills
"JLL Jones Lang LaSalle Building Operating Expenses Adjustment Store #95510",Real Estate & Rent
"Coursera Coursera for Business User License Professional Certificate Course Fee Specialization Monthly Subscription Order #32606",Education & Subscriptions
"Eventbrite Networking Event Ticket Admission Ref#64831",Entertainment & Events
"Shell Gas Station V-Power Premium Diesel Receipt #13910",Travel & Transport
"Eventbrite Networking Event Ticket Admission Professional Workshop Conference Pass Seminar Registration Fee Receipt #43792",Entertainment & Events
"Verizon Fios 1000Mbps Fiber Internet Service Total: $5071.00",Telecommunications & Internet
"Verizon Fios 1000Mbps Fiber Internet Service Total: $55500.00",Telecommunications & Internet
"Spotify Duo Subscription Student Discount Family Plan Music Streaming Premium Individual Monthly Subscription #INV-42813",Entertainment & Events
"Buffalo Wild Wings Onion Rings Basket Boneless Wings Garlic Parm Ultimate Nachos Store #62587",Food & Dining
"CBRE Commercial Office Space Monthly Lease Common Area Maintenance CAM Fee Commercial Property Management Charge Store #76043",Real Estate & Rent
"Ahrefs Content Explorer Search Tool Advanced SEO Keyword Research Tool Total: $34384.00",Marketing & Advertising
"Microsoft 365 Business Standard License SharePoint Storage Addon Store #82701",Software & Cloud Services
"Trader Joes Cold Brew Coffee Concentrate Dark Chocolate Peanut Butter Cups Mandarin Orange Chicken Frozen Order #62227",Groceries & Supermarkets
"Uline Bubble Wrap Cushioning Roll 100ft Store #2267",Office Supplies & Equipment
"Jiffy Lube Signature Service Synthetic Oil Change Windshield Wiper Blade Pair Install Serpentine Belt Inspection Replacement Ref#63877",Maintenance & Repairs
"Alaska Airlines In-flight Meal Pack Receipt #25192",Travel & Transport
"Disney+ Trio Premium Bundle Plan Annual Premium Streaming Subscription Premier Access Movie Rental Ref#77291",Entertainment & Events
"Semrush Keyword Rank Tracking Subscription Guru SEO Competitor Analytics Plan #INV-99713",Marketing & Advertising
"Starbucks Blueberry Muffin Butter Croissant Vanilla Frappuccino Qty: 80827",Food & Dining
"Meta Facebook Ads Facebook Feed Lead Generation Ads Instagram Sponsored Post Campaign Meta Pixel Retargeting Ads #INV-46562",Marketing & Advertising
"AMC Theatres Dolby Cinema Recliner Seat Store #21452",Entertainment & Events
"Geico Insurance Comprehensive Collision Coverage Txn ID: 37276",Insurance & Financial Fees
"AT&T Fiber Gigabit Fiber Internet Monthly Bill Wi-Fi Gateway Equipment Rental Fee Static IP Address Block Monthly Total: $94121.00",Telecommunications & Internet
"Mayo Clinic MRI Diagnostic Brain Imaging Scan Cardiology Electrocardiogram ECG Test Total: $49878.00",Healthcare & Pharmacy
"Home Depot Werner 6ft Fiberglass Stepladder Ref#71668",Maintenance & Repairs
"Jiffy Lube Signature Service Synthetic Oil Change Windshield Wiper Blade Pair Install Serpentine Belt Inspection Replacement Qty: 78714",Maintenance & Repairs
"JLL Jones Lang LaSalle Building Operating Expenses Adjustment Retail Space Lease Payment Commercial Real Estate Rent Invoice Total: $31255.00",Real Estate & Rent
"Whole Foods Market Fresh Organic Bananas Bunch Extra Virgin Olive Oil Bottle Artisanal Sourdough Bread Receipt #82851",Groceries & Supermarkets
"Twilio SMS Voice API Communications Lookup Carrier Intelligence API SendGrid Email API Pro Txn ID: 56828",Software & Cloud Services
"OfficeMax Whiteboard Eraser Cleaner Spray Metal Paper Clips Jumbo 1000 Box Order #65311",Office Supplies & Equipment
"Udemy AWS Solutions Architect Certification Course Python Data Science Masterclass Online Video Course Purchase Txn ID: 21963",Education & Subscriptions
"PG&E Pacific Gas Electric Clean Energy Solar Power Assessment Ref#65012",Utilities & Bills
"Rite Aid CVS Health Cough Drops Cherry Heating Pad Electric Muscle Relief Store #67387",Healthcare & Pharmacy
"LegalZoom LLC Business Formation Filing Fee Store #87525",Professional & Legal Services
"JLL Jones Lang LaSalle Retail Space Lease Payment Commercial Real Estate Rent Invoice Store #28688",Real Estate & Rent
"Cracker Barrel Country Fried Steak Chicken n Dumplins Hashbrown Casserole Txn ID: 11198",Food & Dining
"Home Depot Werner 6ft Fiberglass Stepladder ₹88454,000",Maintenance & Repairs
"Stripe Processing Fee Chargeback Radar Fraud Prevention Stripe Billing Subscriptions Txn ID: 50458",Software & Cloud Services
"Geico Insurance Comprehensive Collision Coverage Monthly Vehicle Policy Renewal Auto Vehicle Insurance Premium ₹88661,000",Insurance & Financial Fees
"Heroku Heroku Postgres Database Redis Cache Addon Txn ID: 90483",Software & Cloud Services
"Allstate Insurance Property Casualty Insurance Premium Txn ID: 40980",Insurance & Financial Fees
"Deloitte Financial Audit Accounting Services Corporate Tax Compliance Advisory Management Consulting Retainer Ref#81677",Professional & Legal Services
